request_id,connection_ms,handshake_ms,resource_read_ms,tool_call_ms,total_time_ms,database_ms,rest_ms,operation_type
38,206.55593904666603,198.390580015257,0,226.67889902368188,843.9328279346228,5.613644607365131,20.889183972030878,edge
39,205.92222991399467,198.59202904626727,0,236.1880091484636,851.8917080946267,5.063990596681833,28.822544030845165,edge
40,207.5430911500007,198.35304096341133,0,223.6343079712242,839.7746370173991,5.566105246543884,18.133717123419046,edge
41,207.37370289862156,197.98526098020375,0,225.1999848522246,840.2155139483511,5.790729075670242,18.021066207438707,edge
42,205.90610895305872,198.56586889363825,0,224.67303602024913,840.8127448055893,5.564132705330849,17.928322311490774,edge
43,207.1852188091725,199.7043250594288,0,227.32003196142614,843.3744101785123,5.714104976505041,20.062195602804422,edge
44,206.85194386169314,198.37765605188906,0,226.48975416086614,841.6289261076599,5.300053860992193,19.349705893546343,edge
45,205.81347588449717,198.14008101820946,0,226.70866502448916,840.1631361339241,6.103146355599165,20.16699267551303,edge
46,206.23016799800098,199.39504517242312,0,222.1591998822987,837.1838768944144,5.034144036471844,17.0989609323442,edge
47,205.95061290077865,197.99813395366073,0,221.5262339450419,834.109648829326,4.784745164215565,16.53787400573492,edge
48,206.09264890663326,198.29551200382411,0,222.84113010391593,836.3691591657698,5.207470152527094,17.541582696139812,edge
49,206.62309508770704,199.32839996181428,0,225.08705407381058,840.6948731280863,4.80998307466507,18.344133161008358,edge
50,205.88180399499834,198.44801886938512,0,231.6311600152403,845.0776250101626,4.431238863617182,16.322468873113394,edge
